# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
3.2355724; 7.8359898; 0.9771624; 1.0228376; -0.6850625; -0.7284843; 0.0152106; 0.0000000; -2.6186481; 0.1890345; 4.1580854; 0.9933383
3.4311222; 7.6554363; 0.9497563; 1.0502437; -0.6718496; -0.7406876; 0.0909041; 0.2776484; -2.5810691; 0.1879583; 4.2055646; 1.0527603
3.6338939; 7.4746047; 0.9294906; 1.0705094; -0.6594690; -0.7517318; 0.1583367; 0.5596111; -2.5085335; 0.1719694; 4.3068324; 1.1469018
3.8435396; 7.2935529; 0.9104885; 1.0895115; -0.6478992; -0.7617261; 0.2174301; 0.8456773; -2.4751788; 0.1619647; 4.3597355; 1.2060512
4.0597114; 7.1123391; 0.8976721; 1.1023279; -0.6370883; -0.7707908; 0.2684464; 1.1357236; -2.4144751; 0.1417396; 4.4713718; 1.3309438
4.2820611; 6.9310213; 0.8870023; 1.1129977; -0.6269949; -0.7790234; 0.3118075; 1.4296410; -2.3871407; 0.1316814; 4.5304776; 1.4221343
4.5102409; 6.7496576; 0.8803605; 1.1196395; -0.6175773; -0.7865102; 0.3480651; 1.7273169; -2.3384387; 0.1123829; 4.6568656; 1.5530221
4.7439028; 6.5683059; 0.8772027; 1.1227973; -0.6087972; -0.7933259; 0.3778499; 2.0286187; -2.3168508; 0.1035372; 4.7230538; 1.6192337
4.9826987; 6.3870244; 0.8760336; 1.1239664; -0.6006189; -0.7995355; 0.4017936; 2.3333835; -2.2785193; 0.0889710; 4.8596291; 1.6871956
5.2262807; 6.2058711; 0.8796333; 1.1203667; -0.5930092; -0.8051957; 0.4204378; 2.6414150; -2.2613083; 0.0832328; 4.9285365; 1.6819515
5.4743008; 6.0249040; 0.8848028; 1.1151972; -0.5859378; -0.8103560; 0.4341471; 2.9524877; -2.2294495; 0.0766502; 5.0628459; 1.6219920
5.7264110; 5.8441812; 0.8930410; 1.1069590; -0.5793770; -0.8150597; 0.4430410; 3.2663550; -2.2144504; 0.0735073; 5.1264823; -1.0358306
5.9822634; 5.6637607; 0.9039797; 1.0960203; -0.5733017; -0.8193444; 0.4470339; 3.5827648; -2.1841824; 0.0801029; 4.9916547; -2.2446517
6.2415100; 5.4837006; 0.9164356; 1.0835644; -0.5676889; -0.8232432; 0.4452240; 3.9014714; -2.1497777; 0.0916290; 4.8117001; -2.0913190
6.5038027; 5.3040589; 0.9320810; 1.0679190; -0.5625189; -0.8267844; 0.4363735; 4.2222810; -2.1309684; 0.0964347; 4.7240265; -2.0045040
6.7687936; 5.1248937; 0.9493012; 1.0506988; -0.5577704; -0.8299953; 0.4193277; 4.5450744; -2.0904764; 0.1061805; 4.5536260; -1.8835945
7.0361348; 4.9462630; 0.9680161; 1.0319839; -0.5534389; -0.8328898; 0.3929474; 4.8698095; -2.0687793; 0.1109331; 4.4701811; -1.8242030
7.3054781; 4.7682248; 0.9890555; 1.0109445; -0.5494671; -0.8355154; 0.3560515; 5.1965710; -2.0222024; 0.1224740; 4.3061730; -1.6789954
7.5764757; 4.5908373; 1.0117517; 0.9882483; -0.5460042; -0.8377824; 0.3074433; 5.5254740; -1.9728916; 0.1287079; 4.1502066; -1.5410010
7.8486947; 4.4147882; 1.0362365; 0.9637635; -0.5386800; -0.8425104; 0.2463376; 5.8577192; -1.9454769; 0.1456156; 4.0753135; -1.4565724
8.1212872; 4.2438383; 1.0654310; 0.9345690; -0.5222255; -0.8528074; 0.1730573; 6.1916634; -1.8804135; 0.1812967; 3.9324920; -1.3043213
8.3932795; 4.0826840; 1.1037843; 0.8962157; -0.4952360; -0.8687585; 0.0893382; 6.5226534; -1.8012767; 0.2143141; 3.8001251; -1.1907395
8.6636976; 3.9360221; 1.1430130; 0.8569870; -0.4556565; -0.8901557; -0.0016113; 6.8452838; -1.7568124; 0.2324993; 3.7369690; -1.1305270
8.9315676; 3.8085494; 1.1326997; 0.8673003; -0.4003017; -0.9163834; -0.0947334; 7.1533057; -1.6579444; 0.2590969; 3.6159944; -1.0606706
9.1959154; 3.7049626; 1.1231138; 0.8768862; -0.3248456; -0.9457670; -0.1827195; 7.4396933; -1.6061565; 0.2605922; 3.5568806; -1.0732697
9.4557673; 3.6299584; 1.1143781; 0.8856219; -0.2239981; -0.9745896; -0.2563925; 7.6976713; -1.5115837; 0.1877633; 3.4316900; -0.8153839
9.7101491; 3.5882337; 1.1462172; 0.8537828; -0.0932113; -0.9956463; -0.3065861; 7.9236275; -1.4834274; 0.0993086; 3.3838641; -0.1964333
9.9580871; 3.5844852; 1.1956398; 0.8043602; 0.0692131; -0.9976019; -0.3273070; 8.1211154; -1.4734922; 0.0263522; 3.3722411; -0.1538593
10.1988819; 3.6222641; 1.2337368; 0.7662632; 0.2371231; -0.9714796; -0.3162632; 8.3104769; -1.4656377; 0.0929874; 3.3631091; -0.1306286
